elliptical_sentences,,,,,full_sentences,,,,,contrast_sentences,,,,,tree_type
John can cook pizza and Mary can,,,,,John can cook pizza and Mary can cook pizza,,,,,John can cook pizza and Mary makes,,,,,1
Sarah will play chess and John will,,,,,Sarah will play chess and John will play chess,,,,,Sarah will play chess and John participates,,,,,1
Sarah can study pizza and Mary can,,,,,Sarah can study pizza and Mary can study pizza,,,,,Sarah can study pizza and Mary learns,,,,,1
Tim can study novel and Mary can,,,,,Tim can study novel and Mary can study novel,,,,,Tim can study novel and Mary learns,,,,,1
Tim can study TV shows and John can,,,,,Tim can study TV shows and John can TV shows,,,,,Tim can study TV shows and John learns,,,,,1
John cannot like TV shows but Mary can,,,,,John cannot like TV shows but Mary can TV shows,,,,,John cannot like TV shows but Mary appreciates,,,,,1
Sarah can study music and Mary can,,,,,Sarah can study music and Mary can study music,,,,,Sarah can study music and Mary learns,,,,,1
Tim cannot teach math but Mary can,,,,,Tim cannot teach math but Mary can teach math,,,,,Tim cannot teach math but Mary tutors,,,,,1
Sarah will like movies and Mary will,,,,,Sarah will like movies and Mary will like movies,,,,,Sarah will like movies and Mary appreciates,,,,,1
John can watch TV shows but Sarah cannot,,,,,John can watch TV shows but Sarah cannot TV shows,,,,,John can watch TV shows but Sarah sees,,,,,1
Mary cannot study sushi but John can,,,,,Mary cannot study sushi but John can study sushi,,,,,Mary cannot study sushi but John learns,,,,,1
John can like coffee but Mary cannot,,,,,John can like coffee but Mary cannot like coffee,,,,,John can like coffee but Mary appreciates,,,,,1
John cannot study movies but Mary can,,,,,John cannot study movies but Mary can study movies,,,,,John cannot study movies but Mary learns,,,,,1
Sarah will like math and John will,,,,,Sarah will like math and John will like math,,,,,Sarah will like math and John appreciates,,,,,1
Tim cannot study movies but Sarah can,,,,,Tim cannot study movies but Sarah can study movies,,,,,Tim cannot study movies but Sarah learns,,,,,1
Mary can watch movies but John cannot,,,,,Mary can watch movies but John cannot watch movies,,,,,Mary can watch movies but John sees,,,,,1
Tim can cook pizza and John can,,,,,Tim can cook pizza and John can cook pizza,,,,,Tim can cook pizza and John makes,,,,,1
John cannot study pizza but Tim can,,,,,John cannot study pizza but Tim can study pizza,,,,,John cannot study pizza but Tim learns,,,,,1
Mary cannot like TV shows but John can,,,,,Mary cannot like TV shows but John can TV shows,,,,,Mary cannot like TV shows but John appreciates,,,,,1
Sarah cannot study sushi but Mary can,,,,,Sarah cannot study sushi but Mary can study sushi,,,,,Sarah cannot study sushi but Mary learns,,,,,1
Tim cannot study chess but Sarah can,,,,,Tim cannot study chess but Sarah can study chess,,,,,Tim cannot study chess but Sarah learns,,,,,1
John can like novel but Sarah cannot,,,,,John can like novel but Sarah cannot like novel,,,,,John can like novel but Sarah appreciates,,,,,1
Tim will teach music and Sarah will,,,,,Tim will teach music and Sarah will teach music,,,,,Tim will teach music and Sarah tutors,,,,,1
Mary cannot study sushi but Sarah can,,,,,Mary cannot study sushi but Sarah can study sushi,,,,,Mary cannot study sushi but Sarah learns,,,,,1
John can teach music and Tim can,,,,,John can teach music and Tim can teach music,,,,,John can teach music and Tim tutors,,,,,1
Sarah can study sushi and Mary can,,,,,Sarah can study sushi and Mary can study sushi,,,,,Sarah can study sushi and Mary learns,,,,,1
John cannot study math but Sarah can,,,,,John cannot study math but Sarah can study math,,,,,John cannot study math but Sarah learns,,,,,1
Mary can like movies but John cannot,,,,,Mary can like movies but John cannot like movies,,,,,Mary can like movies but John appreciates,,,,,1
Mary cannot teach chess but Tim can,,,,,Mary cannot teach chess but Tim can teach chess,,,,,Mary cannot teach chess but Tim tutors,,,,,1
Sarah cannot study sushi but John can,,,,,Sarah cannot study sushi but John can study sushi,,,,,Sarah cannot study sushi but John learns,,,,,1
John will study novel and Sarah will,,,,,John will study novel and Sarah will study novel,,,,,John will study novel and Sarah learns,,,,,1
John cannot study chess but Sarah can,,,,,John cannot study chess but Sarah can study chess,,,,,John cannot study chess but Sarah learns,,,,,1
Tim cannot like poems but Sarah can,,,,,Tim cannot like poems but Sarah can like poems,,,,,Tim cannot like poems but Sarah appreciates,,,,,1
John can study tea and Tim can,,,,,John can study tea and Tim can study tea,,,,,John can study tea and Tim learns,,,,,1
Sarah can play chess and John can,,,,,Sarah can play chess and John can play chess,,,,,Sarah can play chess and John participates,,,,,1
John can read novel but Mary cannot,,,,,John can read novel but Mary cannot read novel,,,,,John can read novel but Mary interprets,,,,,1
Tim will like math and Mary will,,,,,Tim will like math and Mary will like math,,,,,Tim will like math and Mary appreciates,,,,,1
Mary will teach history and Tim will,,,,,Mary will teach history and Tim will teach history,,,,,Mary will teach history and Tim tutors,,,,,1
John can study TV shows and Mary can,,,,,John can study TV shows and Mary can TV shows,,,,,John can study TV shows and Mary learns,,,,,1
Mary can study movies and John can,,,,,Mary can study movies and John can study movies,,,,,Mary can study movies and John learns,,,,,1
Mary can teach tennis but Sarah cannot,,,,,Mary can teach tennis but Sarah cannot teach tennis,,,,,Mary can teach tennis but Sarah tutors,,,,,1
Mary cannot cook sushi but Tim can,,,,,Mary cannot cook sushi but Tim can cook sushi,,,,,Mary cannot cook sushi but Tim makes,,,,,1
John cannot study history but Tim can,,,,,John cannot study history but Tim can study history,,,,,John cannot study history but Tim learns,,,,,1
Tim cannot like music but John can,,,,,Tim cannot like music but John can like music,,,,,Tim cannot like music but John appreciates,,,,,1
Tim cannot teach history but Mary can,,,,,Tim cannot teach history but Mary can teach history,,,,,Tim cannot teach history but Mary tutors,,,,,1
Tim cannot like tea but Sarah can,,,,,Tim cannot like tea but Sarah can like tea,,,,,Tim cannot like tea but Sarah appreciates,,,,,1
John will watch movies and Tim will,,,,,John will watch movies and Tim will watch movies,,,,,John will watch movies and Tim sees,,,,,1
Tim can teach chess and John can,,,,,Tim can teach chess and John can teach chess,,,,,Tim can teach chess and John tutors,,,,,1
John cannot teach math but Tim can,,,,,John cannot teach math but Tim can teach math,,,,,John cannot teach math but Tim tutors,,,,,1
John can watch TV shows and Mary can,,,,,John can watch TV shows and Mary can TV shows,,,,,John can watch TV shows and Mary sees,,,,,1
Sarah cannot read poems but John can,,,,,Sarah cannot read poems but John can read poems,,,,,Sarah cannot read poems but John interprets,,,,,1
Tim will cook pizza and Mary will,,,,,Tim will cook pizza and Mary will cook pizza,,,,,Tim will cook pizza and Mary makes,,,,,1
John cannot teach history but Tim can,,,,,John cannot teach history but Tim can teach history,,,,,John cannot teach history but Tim tutors,,,,,1
Sarah can study history and Mary can,,,,,Sarah can study history and Mary can study history,,,,,Sarah can study history and Mary learns,,,,,1
John can like poems but Sarah cannot,,,,,John can like poems but Sarah cannot like poems,,,,,John can like poems but Sarah appreciates,,,,,1
Tim cannot study math but John can,,,,,Tim cannot study math but John can study math,,,,,Tim cannot study math but John learns,,,,,1
Sarah cannot like coffee but Mary can,,,,,Sarah cannot like coffee but Mary can like coffee,,,,,Sarah cannot like coffee but Mary appreciates,,,,,1
John cannot read poems but Mary can,,,,,John cannot read poems but Mary can read poems,,,,,John cannot read poems but Mary interprets,,,,,1
John can study TV shows and Tim can,,,,,John can study TV shows and Tim can TV shows,,,,,John can study TV shows and Tim learns,,,,,1
Tim cannot play chess but Sarah can,,,,,Tim cannot play chess but Sarah can play chess,,,,,Tim cannot play chess but Sarah participates,,,,,1
Mary can study movies and Tim can,,,,,Mary can study movies and Tim can study movies,,,,,Mary can study movies and Tim learns,,,,,1
Sarah will like pizza and Tim will,,,,,Sarah will like pizza and Tim will like pizza,,,,,Sarah will like pizza and Tim appreciates,,,,,1
John can like poems but Tim cannot,,,,,John can like poems but Tim cannot like poems,,,,,John can like poems but Tim appreciates,,,,,1
Sarah will like coffee and Mary will,,,,,Sarah will like coffee and Mary will like coffee,,,,,Sarah will like coffee and Mary appreciates,,,,,1
John can study math and Tim can,,,,,John can study math and Tim can study math,,,,,John can study math and Tim learns,,,,,1
Tim can study sushi and John can,,,,,Tim can study sushi and John can study sushi,,,,,Tim can study sushi and John learns,,,,,1
Sarah can read novel and Tim can,,,,,Sarah can read novel and Tim can read novel,,,,,Sarah can read novel and Tim interprets,,,,,1
Mary cannot teach history but John can,,,,,Mary cannot teach history but John can teach history,,,,,Mary cannot teach history but John tutors,,,,,1
Mary will teach history and Sarah will,,,,,Mary will teach history and Sarah will teach history,,,,,Mary will teach history and Sarah tutors,,,,,1
Tim can play tennis and Mary can,,,,,Tim can play tennis and Mary can play tennis,,,,,Tim can play tennis and Mary participates,,,,,1
Sarah will like novel and Mary will,,,,,Sarah will like novel and Mary will like novel,,,,,Sarah will like novel and Mary appreciates,,,,,1
John will study TV shows and Sarah will,,,,,John will study TV shows and Sarah will TV shows,,,,,John will study TV shows and Sarah learns,,,,,1
Mary can like poems but John cannot,,,,,Mary can like poems but John cannot like poems,,,,,Mary can like poems but John appreciates,,,,,1
John can watch movies and Tim can,,,,,John can watch movies and Tim can watch movies,,,,,John can watch movies and Tim sees,,,,,1
Mary cannot like math but John can,,,,,Mary cannot like math but John can like math,,,,,Mary cannot like math but John appreciates,,,,,1
John can like tea but Sarah cannot,,,,,John can like tea but Sarah cannot like tea,,,,,John can like tea but Sarah appreciates,,,,,1
Sarah cannot study math but Tim can,,,,,Sarah cannot study math but Tim can study math,,,,,Sarah cannot study math but Tim learns,,,,,1
John can cook pizza but Mary cannot,,,,,John can cook pizza but Mary cannot cook pizza,,,,,John can cook pizza but Mary makes,,,,,1
Tim can watch TV shows and Mary can,,,,,Tim can watch TV shows and Mary can TV shows,,,,,Tim can watch TV shows and Mary sees,,,,,1
Sarah cannot watch TV shows but Mary can,,,,,Sarah cannot watch TV shows but Mary can TV shows,,,,,Sarah cannot watch TV shows but Mary sees,,,,,1
Tim cannot study TV shows but John can,,,,,Tim cannot study TV shows but John can TV shows,,,,,Tim cannot study TV shows but John learns,,,,,1
Tim can read novel and Mary can,,,,,Tim can read novel and Mary can read novel,,,,,Tim can read novel and Mary interprets,,,,,1
John can study sushi and Mary can,,,,,John can study sushi and Mary can study sushi,,,,,John can study sushi and Mary learns,,,,,1
Tim cannot like movies but Mary can,,,,,Tim cannot like movies but Mary can like movies,,,,,Tim cannot like movies but Mary appreciates,,,,,1
Sarah can study pizza and John can,,,,,Sarah can study pizza and John can study pizza,,,,,Sarah can study pizza and John learns,,,,,1
Sarah will watch TV shows and John will,,,,,Sarah will watch TV shows and John will TV shows,,,,,Sarah will watch TV shows and John sees,,,,,1
Mary can cook pizza and John can,,,,,Mary can cook pizza and John can cook pizza,,,,,Mary can cook pizza and John makes,,,,,1
Tim will like poems and Mary will,,,,,Tim will like poems and Mary will like poems,,,,,Tim will like poems and Mary appreciates,,,,,1
Sarah will teach tennis and Tim will,,,,,Sarah will teach tennis and Tim will teach tennis,,,,,Sarah will teach tennis and Tim tutors,,,,,1
Mary will like TV shows and John will,,,,,Mary will like TV shows and John will TV shows,,,,,Mary will like TV shows and John appreciates,,,,,1
Sarah can watch movies and John can,,,,,Sarah can watch movies and John can watch movies,,,,,Sarah can watch movies and John sees,,,,,1
